Object_model, Size of point cloud, CONST_RHO, Size Xi, CONST_D, RESELUTION, Number of grasps, OcTree created, Xi-sets calculated, ZMS calculated, L1-values calculated, L1-values sorted, fingerposes created, Best fingerpos
pc_from_CAD/Kopp.pcd, 18054, 3, 12, 0.1, 5, 60, 9.298324584960938e-06, 0.10074353218078613, 1.7049682140350342, 1.9199368953704834, 1.9848589897155762, 2.671215295791626, 31.54750895500183
pc_from_CAD/Kopp.pcd, 18054, 3, 12, 0.1, 5, 60, 1.0728836059570312e-05, 0.1038053035736084, 1.8102729320526123, 2.039475202560425, 2.114298105239868, 2.833035945892334, 33.200698137283325
pc_from_CAD/Kopp.pcd, 18054, 5, 36, 0.1, 5, 60, 1.0013580322265625e-05, 0.12729573249816895, 4.764789819717407, 4.973357915878296, 5.041477203369141, 5.744147539138794, 34.77303886413574
pc_from_CAD/Pen.pcd, 1850, 5, 19, 0.1, 5, 60, 8.106231689453125e-06, 0.010924339294433594, 0.2938106060028076, 0.31489109992980957, 0.3196296691894531, 1.0081861019134521, 41.080973386764526
pc_from_CAD/Pen.pcd, 1850, 5, 19, 0.1, 5, 60, 8.58306884765625e-06, 0.011087894439697266, 0.28894734382629395, 0.3114738464355469, 0.31661415100097656, 1.0125489234924316, 41.18665885925293
pc_from_CAD/Pen.pcd, 1850, 5, 19, 0.1, 5, 60, 8.821487426757812e-06, 0.010794639587402344, 0.3060791492462158, 0.32702040672302246, 0.3317592144012451, 1.0318224430084229, 42.416677951812744
pc_from_CAD/Pen.pcd, 1850, 5, 19, 0.1, 5, 60, 8.58306884765625e-06, 0.01080012321472168, 0.3001980781555176, 0.3217806816101074, 0.32668495178222656, 1.0243799686431885, 42.3162887096405
pc_from_CAD/Pen.pcd, 6762, 5, 57, 1, 5, 60, 8.344650268554688e-06, 0.055908203125, 3.9187004566192627, 4.00103759765625, 4.022580146789551, 4.745012998580933, 149.40503120422363
pc_from_CAD/Pen.pcd, 6762, 5, 57, 1, 5, 60, 9.5367431640625e-06, 0.05342411994934082, 3.8379878997802734, 3.924144744873047, 3.944815158843994, 4.668790578842163, 151.705415725708
pc_from_CAD/Pen.pcd, 6762, 5, 57, 1, 5, 60, 9.059906005859375e-06, 0.05491018295288086, 3.7279253005981445, 3.810624122619629, 3.8295769691467285, 4.5315821170806885, 143.97054767608643
pc_from_CAD/Pen.pcd, 6762, 5, 57, 1, 5, 60, 9.059906005859375e-06, 0.05449080467224121, 3.7773187160491943, 3.8553431034088135, 3.875657796859741, 4.570026636123657, 145.63058042526245
pc_from_CAD/Ball.pcd, 3939, 5, 100, 1, 5, 60, 9.059906005859375e-06, 0.03244614601135254, 2.422111749649048, 2.467417001724243, 2.4810001850128174, 3.169746160507202, 104.49612379074097
